,YEAR,MONTH,ELEM_VAL
509,1932,6,72
510,1932,7,74
511,1932,8,70
512,1932,9,69
513,1932,10,69
514,1932,11,72
515,1932,12,64
516,1933,1,72
517,1933,2,65
518,1933,3,58
519,1933,4,84
520,1933,5,53
521,1933,6,68
522,1933,7,54
523,1933,8,62
524,1933,9,77
525,1933,10,79
526,1933,11,74
527,1933,12,77
528,1934,1,68
529,1934,2,44
530,1934,3,39
531,1934,4,56
532,1934,5,44
533,1934,6,63
534,1934,7,61
535,1934,8,57
536,1934,9,69
537,1934,10,78
538,1934,11,74
539,1934,12,65
540,1935,1,71
541,1935,2,54
542,1935,3,60
543,1935,4,56
544,1935,5,77
545,1935,6,47
546,1935,7,53
547,1935,8,80
548,1935,9,46
549,1935,10,78
550,1935,11,77
551,1935,12,62
552,1936,1,55
553,1936,2,61
554,1936,3,57
555,1936,4,71
556,1936,5,68
557,1936,6,68
558,1936,7,58
559,1936,8,62
560,1936,9,72
561,1936,10, 
562,1936,11,76
563,1936,12,73
564,1937,1,59
565,1937,2,56
566,1937,3,57
567,1937,4,72
568,1937,5,65
569,1937,6,78
570,1937,7,48
571,1937,8,77
572,1937,9,75
573,1937,10,61
574,1937,11,81
575,1937,12,72
576,1938,1,59
577,1938,2,69
578,1938,3,64
579,1938,4,83
580,1938,5,60
581,1938,6,68
582,1938,7,86
583,1938,8,73
584,1938,9,86
585,1938,10,73
586,1938,11,70
587,1938,12,65
588,1939,1,67
589,1939,2,59
590,1939,3,53
591,1939,4,56
592,1939,5,64
593,1939,6,66
594,1939,7,64
595,1939,8,83
596,1939,9,78
597,1939,10,86
598,1939,11,60
599,1939,12,57
600,1940,1,66
601,1940,2,61
602,1940,3,42
603,1940,4,58
604,1940,5,58
605,1940,6,60
606,1940,7,50
607,1940,8,65
608,1940,9,83
609,1940,10,56
610,1940,11,67
611,1940,12,67
612,1941,1,60
613,1941,2,65
614,1941,3,47
615,1941,4,84
616,1941,5,82
617,1941,6,65
618,1941,7,70
619,1941,8,41
620,1941,9,74
621,1941,10,81
622,1941,11,77
623,1941,12,75
624,1942,1,67
625,1942,2,71
626,1942,3,66
627,1942,4,72
628,1942,5,55
629,1942,6,71
630,1942,7,68
631,1942,8,65
632,1942,9,78
633,1942,10,56
634,1942,11,75
635,1942,12,65
636,1943,1,49
637,1943,2,59
638,1943,3,74
639,1943,4,65
640,1943,5,64
641,1943,6,48
642,1943,7,57
643,1943,8,45
644,1943,9,76
645,1943,10,58
646,1943,11,72
647,1943,12,81
648,1944,1,63
649,1944,2,73
650,1944,3,64
651,1944,4,46
652,1944,5,72
653,1944,6,58
654,1944,7,82
655,1944,8,52
656,1944,9,70
657,1944,10,64
658,1944,11,65
659,1944,12,68
660,1945,1,48
661,1945,2,69
662,1945,3,61
663,1945,4,69
664,1945,5,73
665,1945,6,53
666,1945,7,80
667,1945,8,62
668,1945,9,70
669,1945,10,79
670,1945,11,70
671,1945,12,68
672,1946,1,75
673,1946,2,56
674,1946,3,65
675,1946,4,78
676,1946,5,64
677,1946,6,66
678,1946,7,76
679,1946,8,64
680,1946,9,89
681,1946,10,81
682,1946,11,69
683,1946,12,63
684,1947,1,65
685,1947,2,44
686,1947,3,65
687,1947,4,65
688,1947,5,68
689,1947,6,68
690,1947,7,75
691,1947,8,64
692,1947,9,74
693,1947,10,66
694,1947,11,60
695,1947,12,46
696,1948,1,69
697,1948,2,75
698,1948,3,65
699,1948,4,64
700,1948,5,63
701,1948,6,57
702,1948,7,59
703,1948,8,71
704,1948,9,67
705,1948,10,68
706,1948,11,73
707,1948,12,60
708,1949,1,77
709,1949,2,59
710,1949,3,62
711,1949,4,74
712,1949,5,52
713,1949,6,57
714,1949,7,53
715,1949,8,64
716,1949,9,60
717,1949,10,81
718,1949,11,73
719,1949,12,74
720,1950,1,73
721,1950,2,83
722,1950,3,64
723,1950,4,68
724,1950,5,72
725,1950,6,60
726,1950,7,58
727,1950,8,78
728,1950,9,74
729,1950,10,68
730,1950,11,75
731,1950,12,74
732,1951,1,62
733,1951,2,61
734,1951,3,56
735,1951,4,58
736,1951,5,70
737,1951,6,63
738,1951,7,72
739,1951,8,74
740,1951,9,73
741,1951,10,64
742,1951,11,70
743,1951,12,67
744,1952,1,67
745,1952,2,51
746,1952,3,60
747,1952,4,61
748,1952,5,74
749,1952,6,60
750,1952,7,67
751,1952,8,55
752,1952,9,74
753,1952,10,55
754,1952,11,76
755,1952,12,67
756,1953,1,66
757,1953,2,59
758,1953,3,42
759,1953,4,56
760,1953,5,57
761,1953,6,66
762,1953,7,56
763,1953,8,61
764,1953,9,66
765,1953,10,55
766,1953,11,71
767,1953,12,54
768,1954,1,74
769,1954,2,73
770,1954,3,54
771,1954,4,55
772,1954,5,64
773,1954,6,64
774,1954,7,62
775,1954,8,53
776,1954,9,50
777,1954,10,67
778,1954,11,64
779,1954,12,66
780,1955,1,48
781,1955,2,67
782,1955,3,64
783,1955,4,59
784,1955,5,80
785,1955,6,61
786,1955,7,79
787,1955,8,59
788,1955,9,53
789,1955,10,61
790,1955,11,57
791,1955,12,43
792,1956,1,61
793,1956,2,57
794,1956,3,58
795,1956,4,46
796,1956,5,61
797,1956,6,53
798,1956,7,65
799,1956,8,61
800,1956,9,56
801,1956,10,74
802,1956,11,72
803,1956,12,72
804,1957,1,70
805,1957,2,47
806,1957,3,53
807,1957,4,55
808,1957,5,48
809,1957,6,49
810,1957,7,51
811,1957,8,42
812,1957,9,69
813,1957,10,75
814,1957,11,68
815,1957,12,49
816,1958,1,60
817,1958,2,63
818,1958,3,54
819,1958,4,67
820,1958,5,62
821,1958,6,57
822,1958,7,55
823,1958,8,53
824,1958,9,65
825,1958,10,66
826,1958,11,58
827,1958,12,56
828,1959,1,46
829,1959,2,63
830,1959,3,53
831,1959,4,59
832,1959,5,66
833,1959,6,57
834,1959,7,66
835,1959,8,64
836,1959,9,63
837,1959,10,76
838,1959,11,58
839,1959,12,58
840,1960,1,60
841,1960,2,68
842,1960,3,71
843,1960,4,52
844,1960,5,66
845,1960,6,63
846,1960,7,38
847,1960,8,60
848,1960,9,50
849,1960,10,68
850,1960,11,55
851,1960,12,65
852,1961,1,67
853,1961,2,65
854,1961,3,47
855,1961,4,45
856,1961,5,80
857,1961,6,48
858,1961,7,63
859,1961,8,65
860,1961,9,68
861,1961,10,61
862,1961,11,66
863,1961,12,57
864,1962,1,58
865,1962,2,70
866,1962,3,47
867,1962,4,63
868,1962,5,68
869,1962,6,53
870,1962,7,51
871,1962,8,63
872,1962,9,77
873,1962,10,50
874,1962,11,71
875,1962,12,62
876,1963,1,73
877,1963,2,47
878,1963,3,62
879,1963,4,46
880,1963,5,66
881,1963,6,71
882,1963,7,64
883,1963,8,65
884,1963,9,75
885,1963,10,64
886,1963,11,59
887,1963,12,63
888,1964,1,76
889,1964,2,79
890,1964,3,56
891,1964,4,61
892,1964,5,65
893,1964,6,62
894,1964,7,73
895,1964,8,53
896,1964,9,47
897,1964,10,65
898,1964,11,59
899,1964,12,73
900,1965,1,61
901,1965,2,71
902,1965,3,54
903,1965,4,61
904,1965,5,48
905,1965,6,65
906,1965,7,58
907,1965,8,57
908,1965,9,56
909,1965,10,61
910,1965,11,38
911,1965,12,57
912,1966,1,40
913,1966,2,49
