,year,month,cloud_mean(index)
309,1983,10,5.112072781
310,1983,11,6.308065265
311,1983,12,4.863447375
312,1984,1,5.781972742
313,1984,2,5.30844733
314,1984,3,4.42133186
315,1984,4,4.799894958
316,1984,5,5.360507913
317,1984,6,5.02029759
318,1984,7,5.609503885
319,1984,8,5.51005291
320,1984,9,6.596672061
321,1984,10,5.754502282
322,1984,11,6.030208333
323,1984,12,5.041068847
324,1985,1,4.448700717
325,1985,2,5.270089286
326,1985,3,4.559811828
327,1985,4,5.345991561
328,1985,5,6.058251133
329,1985,6,4.636877828
330,1985,7,4.033850837
331,1985,8,4.081451331
332,1985,9,4.944827146
333,1985,10,5.941319936
334,1985,11,5.744361996
335,1985,12,4.3423583
336,1986,1,6.50204918
337,1986,2,4.764880952
338,1986,3,5.704626247
339,1986,4,5.828762863
340,1986,5,4.282033195
341,1986,6,5.54820059
342,1986,7,3.42432198
343,1986,8,4.066161867
344,1986,9,3.736011905
345,1986,10,5.723897849
346,1986,11,5.764285714
347,1986,12,5.011537331
348,1987,1,6.991615854
349,1987,2,4.929947189
350,1987,3,4.615648183
351,1987,4,4.594929104
352,1987,5,6.134518828
353,1987,6,4.772930506
354,1987,7,5.541417893
355,1987,8,2.960643096
356,1987,9,4.683333333
357,1987,10,4.915289256
358,1987,11,6.145982554
359,1987,12,5.564073931
360,1988,1,5.052881086
361,1988,2,4.691744634
362,1988,3,4.318812046
363,1988,4,2.940343699
364,1988,5,5.157425265
365,1988,6,4.410510674
366,1988,7,4.973119576
367,1988,8,5.243671548
368,1988,9,3.497588909
369,1988,10,4.49991704
370,1988,11,6.882483103
371,1988,12,6.063644816
372,1989,1,6.791697588
373,1989,2,4.940909091
374,1989,3,4.600680272
375,1989,4,4.474020494
376,1989,5,3.94847561
377,1989,6,4.449561404
378,1989,7,4.648757764
379,1989,8,5.572160385
380,1989,9,6.304487179
381,1989,10,5.85483871
382,1989,11,6.2625
383,1989,12,5.724279835
384,1990,1,6.048780488
385,1990,2,5.298578199
386,1990,3,4.386831276
387,1990,4,4.548117155
388,1990,5,5.979057592
389,1990,6,6.100436681
390,1990,7,5.50212766
391,1990,8,6.256404356
392,1990,9,4.183480826
393,1990,10,6.27587626
394,1990,11,6.620315717
395,1990,12,4.722009292
396,1991,1,4.834722222
397,1991,2,5.627919911
398,1991,3,5.124465009
399,1991,4,3.851653565
400,1991,5,7.414937759
401,1991,6,3.904761905
402,1991,7,5.557939914
403,1991,8,5.218106996
404,1991,9,5.725321888
405,1991,10,5.463114754
406,1991,11,5.845188285
407,1991,12,6.577868852
408,1992,1,5.545454545
409,1992,2,6.83982684
410,1992,3,6.534412955
411,1992,4,4.736401674
412,1992,5,5.807377049
413,1992,6,4.46460177
414,1992,7,4.127118644
415,1992,8,4.820833333
416,1992,9,5.051282051
417,1992,10,5.278481013
418,1992,11,6.424369748
419,1992,12,4.611336032
420,1993,1,4.870967742
421,1993,2,5.423963134
422,1993,3,6.358333333
423,1993,4,6.382978723
424,1993,5,5.765690377
425,1993,6,5.180995475
426,1993,7,4.125
427,1993,8,5.640350877
428,1993,9,6.369565217
429,1993,10,5.746781116
430,1993,11,5.948497854
431,1993,12,5.495901639
432,1994,1,5.624489796
433,1994,2,6.122171946
434,1994,3,6.333333333
435,1994,4,5.438053097
436,1994,5,6.03196347
437,1994,6,4.604347826
438,1994,7,3.838983051
439,1994,8,6.129166667
440,1994,9,4.7
441,1994,10,5.838709677
442,1994,11,5.966666667
443,1994,12,4.983805668
444,1995,1,5.30212766
445,1995,2,5.941704036
446,1995,3,5.886639676
447,1995,4,3.934497817
448,1995,5,4.89380531
449,1995,6,6.202764977
450,1995,7,4.141078838
451,1995,8,6.702222222
452,1995,9,5.327659574
453,1995,10,5.552419355
454,1995,11,5.732758621
455,1995,12,4.835390947
456,1996,1,6.584415584
457,1996,2,6.877192982
458,1996,3,6.047008547
459,1996,4,4.292887029
460,1996,5,6.054621849
461,1996,6,5.204255319
462,1996,7,5.207792208
463,1996,8,6.234817814
464,1996,9,6.845814978
465,1996,10,6.12195122
466,1996,11,4.55
467,1996,12,5.910931174
468,1997,1,5.166666667
469,1997,2,6.24537037
470,1997,3,4.931623932
471,1997,4,6.029411765
472,1997,5,6.021645022
473,1997,6,5.082608696
474,1997,7,6.591489362
475,1997,8,4.962025316
476,1997,9,4.369747899
477,1997,10,5.245967742
478,1997,11,5.370833333
479,1997,12,6.012145749
480,1998,1,4.767346939
481,1998,2,5.930875576
482,1998,3,4.730290456
483,1998,4,5.454935622
484,1998,5,5.653679654
485,1998,6,4.082949309
486,1998,7,5.4
487,1998,8,5.404081633
488,1998,9,3.913793103
489,1998,10,4.942622951
490,1998,11,6.370212766
491,1998,12,7.060728745
492,1999,1,6.084388186
493,1999,2,5.633802817
494,1999,3,5.193415638
495,1999,4,5.283898305
496,1999,5,6.223140496
497,1999,6,4.978448276
498,1999,7,4.502074689
499,1999,8,5.824034335
500,1999,9,5.025531915
501,1999,10,6.23553719
502,1999,11,5.506329114
503,1999,12,4.684210526
504,2000,1,6.721311475
505,2000,2,6.422222222
506,2000,3,5.902439024
507,2000,4,6.078947368
508,2000,5,6.398268398
509,2000,6,3.818965517
510,2000,7,4.180257511
511,2000,8,5.173728814
512,2000,9,5.755364807
513,2000,10,5.896694215
514,2000,11,5.829787234
515,2000,12,4.542510121
516,2001,1,6.331932773
517,2001,2,5.622727273
518,2001,3,4.195121951
519,2001,4,5.631355932
520,2001,5,5.060728745
521,2001,6,5.355648536
522,2001,7,4.016528926
523,2001,8,4.549180328
524,2001,9,6.025210084
525,2001,10,5.314049587
526,2001,11,5.285106383
527,2001,12,6.219409283
528,2002,1,6.2406639
529,2002,2,5.542600897
530,2002,3,5.735294118
531,2002,4,5.344827586
532,2002,5,6.355932203
533,2002,6,5.991489362
534,2002,7,5.316666667
535,2002,8,5.4375
536,2002,9,5.95890411
537,2002,10,4.46835443
538,2002,11,7.037656904
539,2002,12,7.314516129
540,2003,1,6.237903226
541,2003,2,6.720183486
542,2003,3,5.86122449
543,2003,4,6.109243697
544,2003,5,5.264705882
545,2003,6,5.519148936
546,2003,7,4.404958678
547,2003,8,4.510638298
548,2003,9,5.367521368
549,2003,10,5.779591837
550,2003,11,6
551,2003,12,5.61637931
552,2004,1,5.894736842
553,2004,2,5.616740088
554,2004,3,6.366255144
555,2004,4,5.021276596
556,2004,5,6.105263158
557,2004,6,5.347280335
558,2004,7,5.31092437
559,2004,8,5.239837398
560,2004,9,6.247863248
561,2004,10,4.074074074
562,2004,11,5.10212766
563,2004,12,5.439834025
564,2005,1,5.954918033
565,2005,2,5.692307692
566,2005,3,6.644628099
567,2005,4,5.6375
568,2005,5,4.694690265
569,2005,6,5.076576577
570,2005,7,5.322175732
571,2005,8,5.058641975
572,2005,9,3.134199134
573,2005,10,5.112834979
574,2005,11,5.033182504
575,2005,12,5.338050314
576,2006,1,4.6064
577,2006,2,4.871743487
578,2006,3,4.322727273
579,2006,4,3.806734993
580,2006,5,4.003067485
581,2006,6,4.349640288
582,2006,7,3.442389758
583,2006,8,5.337175793
584,2006,9,5.448979592
585,2006,10,3.747252747
586,2006,11,4.365384615
587,2006,12,6.02134647
588,2007,1,5.220588235
589,2007,2,4.777080063
590,2007,3,5.644135189
591,2007,4,5.317771084
592,2007,5,3.267882188
593,2007,6,3.993902439
594,2007,7,4.201977401
595,2007,8,3.823613087
596,2007,9,4.979942693
597,2007,10,5.994029851
598,2007,11,5.149741824
599,2007,12,5.051839465
600,2008,1,5.52265861
601,2008,2,4.782214156
602,2008,3,4.916666667
603,2008,4,4.961647727
604,2008,5,5.879821958
605,2008,6,2.642011834
606,2008,7,4.550420168
607,2008,8,7.857142857
608,2008,8,3.829881657
609,2008,9,5.777439024
610,2008,10,4.461322082
611,2008,11,4.601236476
612,2008,12,5.677469136
613,2009,1,5.664624809
614,2009,2,4.463576159
615,2009,3,5.20089955
616,2009,4,6.907936508
617,2009,5,4.68975469
618,2009,6,3.970760234
619,2009,7,4.258807588
620,2009,8,5.129888268
621,2009,9,4.472929936
622,2009,10,5.059322034
623,2009,11,5.419734904
624,2009,12,4.521802326
625,2010,1,4.334855403
626,2010,2,3.744548287
627,2010,3,5.229260935
628,2010,4,3.646
629,2010,5,3.367924528
630,2010,6,4.450424929
631,2010,7,3.600834492
632,2010,8,4.403348554
633,2010,9,7.340116279
634,2010,10,6.009708738
635,2010,11,4.341880342
636,2010,12,3.11976912
637,2011,1,4.359013867
638,2011,2,4.852233677
639,2011,3,3.566091954
640,2011,4,6.318979266
641,2011,5,3.689226519
642,2011,6,1.873399716
643,2011,7,4.012640449
644,2011,8,4.088797814
645,2011,9,6.472340426
646,2011,10,5.472340426
647,2012,2,2.875
648,2012,3,5.214904679
649,2012,4,5.411935953
650,2012,5,4.052631579
651,2012,6,2.165548098
652,2012,6,0.488888889
653,2012,7,3.325
654,2012,8,3.484641638
655,2012,9,4.499294781
656,2012,10,4.511527378
657,2012,11,4.440063091
658,2012,12,5.857142857
659,2013,1,6.766666667
660,2013,2,5.875
661,2013,3,3.211287988
662,2013,4,3.298984035
663,2013,5,5.881064163
664,2013,6,4.230769231
665,2013,7,3.796725784
666,2013,8,4.220735786
667,2013,9,3.506263817
668,2013,10,4.741385536
669,2013,11,4.515965471
