,0,1,2
558,2004,7,1923.0
559,2004,8,643.0
560,2004,9,1425.0
561,2004,10,691.0
562,2004,11,1647.0
563,2004,12,516.0
564,2005,1,3598.0
565,2005,2,1746.0
566,2005,3,1599.0
567,2005,4,846.0
568,2005,5,173.0
569,2005,6,611.0
570,2005,7,2037.0
571,2005,8,1388.0
572,2005,9,74.0
573,2005,10,407.0
574,2005,11,1409.0
575,2005,12,2456.0
576,2006,1,1845.0
577,2006,2,825.0
578,2006,3,1036.0
579,2006,4,626.0
580,2006,5,272.0
581,2006,6,723.0
582,2006,7,655.0
583,2006,8,1227.0
584,2006,9,914.0
585,2006,10,322.0
586,2006,11,500.0
587,2006,12,2163.0
588,2007,1,897.0
589,2007,2,287.0
590,2007,3,1078.0
591,2007,4,2083.0
592,2007,5,180.0
593,2007,6,469.0
594,2007,7,281.0
595,2007,8,511.0
596,2007,9,1265.0
597,2007,10,1084.0
598,2007,11,2089.0
599,2007,12,2108.0
600,2008,1,791.0
601,2008,3,968.0
602,2008,4,269.0
603,2008,5,1440.0
604,2008,6,161.0
605,2008,7,776.0
606,2008,8,24.0
607,2008,8,337.0
608,2008,9,2093.0
609,2008,10,668.0
610,2008,11,1123.0
611,2008,12,2042.0
612,2009,1,954.0
613,2009,2,922.0
614,2009,3,1915.0
615,2009,4,2393.0
616,2009,5,1113.0
617,2009,6,113.0
618,2009,7,1047.0
619,2009,8,269.0
620,2009,9,617.0
621,2009,10,1111.0
622,2009,11,357.0
623,2009,12,625.0
624,2010,1,1099.0
625,2010,2,365.0
626,2010,3,1738.0
627,2010,4,36.0
628,2010,5,145.0
629,2010,6,408.0
630,2010,7,82.0
631,2010,8,488.0
632,2010,9,697.0
633,2010,10,1644.0
634,2010,11,113.0
635,2010,12,309.0
636,2011,1,1172.0
637,2011,2,1764.0
638,2011,3,529.0
639,2011,4,1741.0
640,2011,5,468.0
641,2011,6,77.0
642,2011,7,512.0
643,2011,8,901.0
644,2011,9,796.0
645,2011,10,468.0
646,2011,11,1753.0
647,2011,12,818.0
648,2012,1,1213.0
649,2012,2,944.0
650,2012,3,1722.0
651,2012,4,425.0
652,2012,5,0.0
653,2012,10,1054.0
654,2012,11,366.0
655,2012,12,1708.0
656,2013,1,1463.0
