,time,sst_4270,sst_4360,sst_4216,sst_4339,sst_34320,,4270,4360,4216,4339,34320
118,1859-11-01,1.826500073,3.691647235,0.311000025,-0.557375025,-1.601444509,,,,,,
119,1859-12-01,1.664250061,3.092411904,-0.283500016,-1.289625071,-1.720333404,,,,,,
120,1860-01-01,2.020625129,3.187176613,-0.827250019,-1.435125068,-1.80033342,,,,,,
121,1860-02-01,1.693875104,2.686764833,-1.088500053,-1.444625065,-1.806555669,,,,,,
122,1860-03-01,1.451750085,2.053353037,-0.809750035,-1.615375064,-1.818000091,,,,,,
123,1860-04-01,1.542750068,1.883235395,-0.021500002,-1.582375079,-1.815111187,,,,,,
124,1860-05-01,2.2266251,2.582529555,0.825750053,-1.440250061,-1.793333424,,,,,,
125,1860-06-01,3.648250222,4.154411919,1.74725014,-0.883000046,-1.723333399,,,,,,
126,1860-07-01,4.588750184,5.266941449,3.109000146,0.508000015,-1.068555607,,,,,,
127,1860-08-01,4.603125215,5.915823796,4.293750286,1.034750052,-0.66444448,,,,,,
128,1860-09-01,3.894375175,4.688529632,3.178250194,0.802250028,-0.687555576,,,,,,
129,1860-10-01,2.854125112,4.048000223,1.869750082,0.021125,-1.266666704,,,,,,
130,1860-11-01,2.205625132,3.854764896,0.688250035,-0.735875038,-1.607555628,,,,,,
131,1860-12-01,1.938000113,3.471294291,-0.249000005,-1.384500064,-1.721666747,,,,,,
132,1861-01-01,1.733375102,2.827176648,-0.821500033,-1.427875072,-1.800000085,,,,,,
133,1861-02-01,1.165000036,2.1194707,-1.054250047,-1.427375063,-1.808889005,,,,,,
134,1861-03-01,1.15462504,1.815000091,-0.805500031,-1.605125077,-1.817888975,,,,,,
135,1861-04-01,1.47337506,1.719058904,-0.03725,-1.578375071,-1.815111187,,,,,,
136,1861-05-01,1.840000093,2.072764808,0.809000045,-1.437375076,-1.797000077,,,,,,
137,1861-06-01,2.958000124,3.393353098,1.531500071,-0.887250055,-1.72966675,,,,,,
138,1861-07-01,4.300250173,5.257411999,2.754000127,0.50625002,-1.071666718,,,,,,
139,1861-08-01,4.623250216,6.198411998,3.78850019,1.408125058,-0.685444471,,,,,,
140,1861-09-01,3.999250233,5.280706125,3.354750156,1.200750053,-0.695777808,,,,,,
